,year,gender,type_cat,applications,funded,amount,year_num,proportion_gender_funded,mapper,total_amount,total_funded,proportion_total_amount,proportion_total_funded
0,2015,F,1,337,68,21.4972024,0,20.1780415430267,"(2015.0, 1.0)",35.82312,111,60.00929678933604,61.26126126126125
1,2015,F,2,239,30,13.109064,0,12.55230125523012,"(2015.0, 2.0)",23.915192,55,54.8147972217827,54.54545454545454
2,2015,F,3,104,28,19.64546,0,26.92307692307692,"(2015.0, 3.0)",52.09115,70,37.71362313943924,40.0
3,2015,M,1,182,43,14.3259176,0,23.62637362637362,"(2015.0, 1.0)",35.82312,111,39.99070321066394,38.73873873873874
4,2015,M,2,222,25,10.806128,0,11.26126126126126,"(2015.0, 2.0)",23.915192,55,45.1852027782173,45.45454545454545
5,2015,M,3,186,42,32.44569,0,22.58064516129032,"(2015.0, 3.0)",52.09115,70,62.28637686056076,60.0
6,2015,N,1,0,0,0.0,0,,"(2015.0, 1.0)",35.82312,111,0.0,0.0
7,2015,N,2,0,0,0.0,0,,"(2015.0, 2.0)",23.915192,55,0.0,0.0
8,2015,N,3,0,0,0.0,0,,"(2015.0, 3.0)",52.09115,70,0.0,0.0
9,2016,F,1,297,67,22.0552752,1,22.55892255892256,"(2016.0, 1.0)",38.3691104,118,57.48185185966679,56.77966101694916
10,2016,F,2,237,20,8.646612800000002,1,8.438818565400844,"(2016.0, 2.0)",26.234208,60,32.95930565161335,33.33333333333333
11,2016,F,3,105,22,15.9712,1,20.95238095238095,"(2016.0, 3.0)",58.88053499999999,77,27.12475353697109,28.57142857142857
12,2016,M,1,193,51,16.3138352,1,26.42487046632124,"(2016.0, 1.0)",38.3691104,118,42.51814814033322,43.22033898305085
13,2016,M,2,215,40,17.5875952,1,18.6046511627907,"(2016.0, 2.0)",26.234208,60,67.04069434838664,66.66666666666666
14,2016,M,3,190,55,42.909335,1,28.94736842105263,"(2016.0, 3.0)",58.88053499999999,77,72.87524646302892,71.42857142857143
15,2016,N,1,0,0,0.0,1,,"(2016.0, 1.0)",38.3691104,118,0.0,0.0
16,2016,N,2,0,0,0.0,1,,"(2016.0, 2.0)",26.234208,60,0.0,0.0
17,2016,N,3,0,0,0.0,1,,"(2016.0, 3.0)",58.88053499999999,77,0.0,0.0
18,2017,F,1,291,60,19.296312,2,20.61855670103093,"(2017.0, 1.0)",38.9897864,120,49.4906840525805,50.0
19,2017,F,2,208,32,13.8365712,2,15.38461538461539,"(2017.0, 2.0)",26.6603448,61,51.8994458016162,52.45901639344262
20,2017,F,3,114,27,20.497145,2,23.68421052631579,"(2017.0, 3.0)",57.738355,76,35.50005018327938,35.52631578947368
21,2017,M,1,179,60,19.6934744,2,33.5195530726257,"(2017.0, 1.0)",38.9897864,120,50.50931594741949,50.0
22,2017,M,2,179,29,12.8237736,2,16.20111731843575,"(2017.0, 2.0)",26.6603448,61,48.10055419838381,47.54098360655738
23,2017,M,3,208,49,37.24121,2,23.55769230769231,"(2017.0, 3.0)",57.738355,76,64.49994981672063,64.47368421052632
24,2017,N,1,2,0,0.0,2,0.0,"(2017.0, 1.0)",38.9897864,120,0.0,0.0
25,2017,N,2,1,0,0.0,2,0.0,"(2017.0, 2.0)",26.6603448,61,0.0,0.0
26,2017,N,3,0,0,0.0,2,,"(2017.0, 3.0)",57.738355,76,0.0,0.0
27,2018,F,1,305,70,22.990076,3,22.95081967213115,"(2018.0, 1.0)",37.7233864,115,60.94382873325498,60.86956521739131
28,2018,F,2,227,35,15.696508,3,15.41850220264317,"(2018.0, 2.0)",24.37114,55,64.40612954502744,63.63636363636363
29,2018,F,3,98,24,17.435405,3,24.48979591836735,"(2018.0, 3.0)",58.73961,78,29.68253449418544,30.76923076923077
30,2018,M,1,163,45,14.7333104,3,27.60736196319019,"(2018.0, 1.0)",37.7233864,115,39.05617126674503,39.1304347826087
31,2018,M,2,184,20,8.674632,3,10.8695652173913,"(2018.0, 2.0)",24.37114,55,35.59387045497257,36.36363636363637
32,2018,M,3,200,54,41.304205,3,27.0,"(2018.0, 3.0)",58.73961,78,70.31746550581457,69.23076923076923
33,2018,N,1,6,0,0.0,3,0.0,"(2018.0, 1.0)",37.7233864,115,0.0,0.0
34,2018,N,2,3,0,0.0,3,0.0,"(2018.0, 2.0)",24.37114,55,0.0,0.0
35,2018,N,3,0,0,0.0,3,,"(2018.0, 3.0)",58.73961,78,0.0,0.0
36,2019,F,1,340,43,26.1949815,4,12.64705882352941,"(2019.0, 1.0)",51.71018969,86,50.65729144881812,50.0
37,2019,F,2,245,21,28.46853501,4,8.571428571428571,"(2019.0, 2.0)",59.770105,43,47.63005688211523,48.83720930232558
38,2019,F,3,271,33,68.73245767,4,12.17712177121771,"(2019.0, 3.0)",254.39316231,117,27.01820168666467,28.2051282051282
39,2019,M,1,271,42,24.87545819,4,15.49815498154982,"(2019.0, 1.0)",51.71018969,86,48.10552492483034,48.83720930232558
40,2019,M,2,227,22,31.30156999,4,9.691629955947137,"(2019.0, 2.0)",59.770105,43,52.36994311788477,51.16279069767442
41,2019,M,3,493,84,185.66070464,4,17.03853955375254,"(2019.0, 3.0)",254.39316231,117,72.98179831333533,71.7948717948718
42,2019,N,1,6,1,0.63975,4,16.66666666666666,"(2019.0, 1.0)",51.71018969,86,1.237183626351536,1.162790697674419
43,2019,N,2,3,0,0.0,4,0.0,"(2019.0, 2.0)",59.770105,43,0.0,0.0
44,2019,N,3,1,0,0.0,4,0.0,"(2019.0, 3.0)",254.39316231,117,0.0,0.0
45,2020,F,1,359,46,27.76697478000001,5,12.8133704735376,"(2020.0, 1.0)",50.48879860000001,83,54.99630720070253,55.42168674698795
46,2020,F,2,215,18,25.40740637,5,8.372093023255815,"(2020.0, 2.0)",55.48167506999999,39,45.79423086621672,46.15384615384615
47,2020,F,3,260,42,92.71894838,5,16.15384615384615,"(2020.0, 3.0)",261.50467123,115,35.45594346131253,36.52173913043478
48,2020,M,1,300,37,22.72182382,5,12.33333333333333,"(2020.0, 1.0)",50.48879860000001,83,45.00369279929745,44.57831325301205
49,2020,M,2,176,21,30.0742687,5,11.93181818181818,"(2020.0, 2.0)",55.48167506999999,39,54.2057691337833,53.84615384615385
50,2020,M,3,458,73,168.78572285,5,15.93886462882096,"(2020.0, 3.0)",261.50467123,115,64.54405653868747,63.47826086956522
51,2020,N,1,11,0,0.0,5,0.0,"(2020.0, 1.0)",50.48879860000001,83,0.0,0.0
52,2020,N,2,0,0,0.0,5,,"(2020.0, 2.0)",55.48167506999999,39,0.0,0.0
53,2020,N,3,1,0,0.0,5,0.0,"(2020.0, 3.0)",261.50467123,115,0.0,0.0
