,Year,State and Territory,Applications,Funded,Funded Rate,Amount
0,2015,ACT,34,6.0,0.1764705882352941,3059078.0
1,2015,NSW,354,61.0,0.172316384180791,29448431.0
2,2015,NT,17,3.0,0.1764705882352941,943932.0
3,2015,QLD,198,43.0,0.2171717171717172,21416338.0
4,2015,SA,100,22.0,0.22,11119615.0
5,2015,TAS,18,3.0,0.1666666666666667,1400951.0
6,2015,VIC,481,92.0,0.1912681912681913,42754756.0
7,2015,WA,68,6.0,0.08823529411764706,1686361.0
8,2016,ACT,35,7.0,0.2,3514090.0
9,2016,NSW,321,70.0,0.2180685358255452,34456943.0
10,2016,NT,11,4.0,0.3636363636363636,1129934.4
11,2016,QLD,191,37.0,0.193717277486911,19039280.6
12,2016,SA,101,15.0,0.1485148514851485,6483964.0
13,2016,TAS,10,1.0,0.1,318768.0
14,2016,VIC,487,108.0,0.2217659137577002,51697644.6
15,2016,WA,81,13.0,0.1604938271604938,6843228.8
16,2017,ACT,24,4.0,0.1666666666666667,2673848.0
17,2017,NSW,308,76.0,0.2467532467532468,36290737.8
18,2017,NT,16,4.0,0.25,1811623.4
19,2017,QLD,188,33.0,0.175531914893617,16234477.0
20,2017,SA,104,19.0,0.1826923076923077,7844972.0
21,2017,TAS,20,2.0,0.1,645904.0
22,2017,VIC,469,107.0,0.2281449893390192,52740233.6
23,2017,WA,53,12.0,0.2264150943396226,5146690.4
24,2018,ACT,24,4.0,0.1666666666666667,1574824.0
25,2018,NSW,297,65.0,0.2188552188552189,31076089.4
26,2018,NT,11,1.0,0.09090909090909091,290044.0
27,2018,QLD,196,29.0,0.1479591836734694,13806229.0
28,2018,SA,96,18.0,0.1875,7953089.0
29,2018,TAS,20,2.0,0.1,654384.0
30,2018,VIC,480,119.0,0.2479166666666667,60964160.0
31,2018,WA,62,10.0,0.1612903225806452,4515317.0
32,2019,ACT,36,5.0,0.1388888888888889,4628323.0
33,2019,NSW,548,62.0,0.1131386861313869,95722098.56
34,2019,NT,11,2.0,0.1818181818181818,3207876.48
35,2019,QLD,263,35.0,0.1330798479087452,48098717.39
36,2019,SA,156,10.0,0.0641025641025641,13424263.69
37,2019,TAS,29,3.0,0.103448275862069,3252906.15
38,2019,VIC,714,115.0,0.1610644257703081,174888580.0
39,2019,WA,100,14.0,0.14,22650691.73
40,2020,ACT,27,2.0,0.07407407407407407,3893622.0
41,2020,NSW,573,75.0,0.1308900523560209,110387375.1
42,2020,NT,9,4.0,0.4444444444444444,4542847.75
43,2020,QLD,254,27.0,0.1062992125984252,46660996.31999999
44,2020,SA,147,12.0,0.08163265306122448,22069127.96
45,2020,TAS,24,,,
46,2020,VIC,661,110.0,0.1664145234493192,173084880.77
47,2020,WA,85,7.0,0.08235294117647059,6836295.0
